ФИО;Паспорт;СНИЛС;Симптомы;Врач;Дата визита;Анализы;Дата получения;Стоимость;Карта;Повторный прием
Михайлов Анатолий Викторович;82 37 425554;570-928-836 26;снижение подвижности, утомляемость, скованность;Реабилитолог;2024-01-22T09:00;консультация врача-реабилитолога;2024-01-23T09:00;4600 руб.;MTS BANK | MIR | 3210 8882 9168 7755;2024-01-24T10:00
Власов Илья Васильевич;29 39 537722;261-710-661 38;отек тканей, ограничение функции, покраснение;Хирург;2024-08-12T13:00;общий анализ крови + УЗИ органов брюшной полости;2024-08-14T11:00;3350 руб.;SBERBANK OF RUSSIA | MIR | 9332 4749 6617 7253;2024-08-15T12:00
Нестеров Степан Захарович;AB6857350;955-216-952 79;врожденные особенности;Генетик;2024-10-21T10:00;общий анализ крови + биохимический анализ крови + генетический анализ;2024-10-24T12:30;13700 руб.;GAZPROMBANK | VISA | 2144 5415 7974 8830;2024-10-25T13:30
Максимов Федор Павлович;42 73 489062;651-361-357 19;боль после повреждения, синяки, отек;Травматолог;2024-11-12T08:00;общий анализ крови;2024-11-13T18:00;850 руб.;MTS BANK | MIR | 3007 6992 2836 7584;2024-11-14T17:30
Терентьев Антон Станиславович;43 12 686097;381-388-632 85;неприятный запах, чувствительность;Стоматолог;2024-02-05T08:00;биохимический анализ крови;2024-02-06T11:00;850 руб.;VTB BANK | VISA | 7348 9881 9731 8379;2024-02-07T12:00
Котов Кирил Евгеньевич;62 30 542585;424-941-682 33;стеснение в груди, кашель, затрудненное дыхание;Пульмонолог;2024-11-08T14:00;общий анализ крови + рентген грудной клетки + спирометрия;2024-11-11T09:30;3850 руб.;MTS BANK | MIR | 2784 7328 3087 4599;2024-11-12T10:30
Туров Глеб Маркович;AB9399831;715-951-492 82;трудности глотания, подозрение на внутренние изменения;Эндоскопист;2024-01-26T13:00;ФГДС + колоноскопия + общий анализ крови;2024-01-29T17:30;13850 руб.;VTB BANK | MASTERCARD | 7590 5179 7062 6922;2024-01-30T18:30
Ларионов Валерий Филиппович;88 47 919993;578-608-353 48;зубная боль, воспаление десен;Стоматолог;2024-02-20T10:00;биохимический анализ крови + общий анализ крови + рентген зубов;2024-02-21T18:00;2400 руб.;SBERBANK OF RUSSIA | MIR | 7450 4887 2442 6141;2024-02-22T09:30
Исаев Радимир Николаевич;19 13 932064;686-476-109 11;слабость, общее недомогание;Терапевт;2024-04-08T09:00;общий анализ мочи;2024-04-11T15:30;290 руб.;VTB BANK | MIR | 8415 4166 7454 2674;2024-04-12T16:30
Родионов Евгений Елисеевич;63 53 685291;340-298-780 72;воспаление десен, зубная боль;Стоматолог;2024-04-18T11:00;биохимический анализ крови + рентген зубов + общий анализ крови;2024-04-22T18:00;2400 руб.;SBERBANK OF RUSSIA | MASTERCARD | 5198 6010 6801 7751;2024-04-23T17:00
Орлов Тимур Иванович;38 85 144159;597-254-942 32;снижение энергии;Эндокринолог;2024-01-11T11:00;ТТГ + анализ на гормоны щитовидной железы;2024-01-15T13:00;1910 руб.;TINKOFF BANK | MASTERCARD | 1819 4966 1873 9109;2024-01-16T14:00
Терентьев Марк Семенович;36 51 741240;218-211-391 10;необъяснимая потеря веса;Онколог;2024-04-22T15:00;онкомаркеры + биохимический анализ крови;2024-04-24T17:00;3250 руб.;MTS BANK | MASTERCARD | 5560 9502 2132 2714;2024-04-25T18:00
Никифоров Яков Степанович;34 62 773414;720-939-823 67;замедленная реакция, головная боль;Невролог;2024-10-14T17:00;общий анализ крови + ЭЭГ + МРТ головного мозга;2024-10-17T17:00;10150 руб.;MTS BANK | VISA | 2972 9849 7506 6462;2024-10-18T18:00
Архипов Семён Тимурович;38 26 719186;145-125-406 23;замедленное восстановление, ограничение подвижности, мышечное напряжение;Физиотерапевт;2024-07-15T14:00;дарсонвализация + магнитотерапия + ультразвуковая терапия;2024-07-18T11:30;1300 руб.;GAZPROMBANK | MIR | 2953 7013 9758 4959;2024-07-19T12:30
Суворов Харитон Валентинович;AB8989437;810-986-803 52;врожденные особенности;Генетик;2024-08-12T10:00;биохимический анализ крови + общий анализ крови + генетический анализ;2024-08-14T17:00;13700 руб.;SBERBANK OF RUSSIA | MASTERCARD | 1213 8426 9427 3838;2024-08-15T18:00
Одинцов Леонид Леонидович;82 48 482626;929-615-992 40;одышка;Кардиолог;2024-09-27T13:00;общий анализ крови;2024-09-30T10:00;850 руб.;TINKOFF BANK | MIR | 5499 5275 8295 5099;2024-10-01T11:00
Киселев Василий Ильич;38 41 178412;923-237-253 15;вялость, снижение активности;Неонатолог;2024-06-14T08:00;общий анализ крови;2024-06-17T10:00;850 руб.;SBERBANK OF RUSSIA | MIR | 2399 3248 7701 1579;2024-06-18T11:00
Макаров Семён Юрьевич;53 44 586984;482-716-692 81;мышечная слабость, снижение подвижности;Реабилитолог;2024-03-28T14:00;консультация врача-реабилитолога + общий анализ крови;2024-04-01T13:30;5450 руб.;TINKOFF BANK | MIR | 5035 9278 6425 7407;2024-04-02T14:30
Пестов Ростислав Олегович;AB9330324;299-665-582 36;дискомфорт в груди;Кардиолог;2024-07-15T11:00;общий анализ крови + эхокардиография;2024-07-17T11:00;5350 руб.;GAZPROMBANK | MIR | 3588 6967 3293 6762;2024-07-18T12:00
Бирюков Сергей Степанович;AB9141686;490-359-464 10;утомляемость;Ортопед;2024-11-06T15:00;рентген грудной клетки;2024-11-11T10:00;1200 руб.;MTS BANK | MASTERCARD | 6148 6525 7638 8710;2024-11-12T11:00
Шилов Артём Антонович;51 51 550145;153-102-928 61;кашель, отказ от еды, сыпь;Педиатр;2024-06-17T14:00;общий анализ мочи + биохимический анализ крови;2024-06-19T16:00;1140 руб.;SBERBANK OF RUSSIA | VISA | 3696 8152 2620 7886;2024-06-20T17:00
Евдокимов Григорий Леонидович;AB8032196;190-254-761 61;мышечная слабость, замедленное восстановление, снижение подвижности;Реабилитолог;2024-03-08T10:00;механотерапия + консультация врача-реабилитолога;2024-03-11T13:00;5200 руб.;MTS BANK | MASTERCARD | 6839 4975 8861 5910;2024-03-12T14:00
Климов Тимур Федорович;N34130515;373-104-725 20;дыхательный дискомфорт, ощущение нехватки воздуха, кашель;Пульмонолог;2024-10-28T15:00;общий анализ крови;2024-10-29T16:00;850 руб.;TINKOFF BANK | MIR | 3584 2379 5165 9343;2024-10-30T17:00
Лопатин Анатолий Данилович;AB7996948;647-127-126 72;отеки, повышение давления, слабость;Нефролог;2024-03-25T16:00;общий анализ мочи + УЗИ почек и мочевого пузыря;2024-03-27T13:00;2790 руб.;GAZPROMBANK | MASTERCARD | 2482 9851 3089 6218;2024-03-28T14:00
Устинов Пётр Дмитриевич;15 81 393332;837-416-879 97;скованность движений, дискомфорт при ходьбе;Ортопед;2024-07-15T14:00;общий анализ крови;2024-07-17T14:00;850 руб.;SBERBANK OF RUSSIA | MIR | 7463 2728 5397 8296;2024-07-18T15:00
Дмитриев Алексей Эдуардович;34 17 432177;916-467-798 64;скованность, ограничение подвижности, замедленное восстановление;Физиотерапевт;2024-07-15T10:00;дарсонвализация;2024-07-16T17:00;500 руб.;GAZPROMBANK | MASTERCARD | 1923 3500 2420 5736;2024-07-17T18:00
Егоров Станислав Валерьевич;AB4129841;281-482-925 83;сухость, напряжение глаз;Офтальмолог;2024-01-15T12:00;общий анализ крови + офтальмоскопия;2024-01-18T12:00;1450 руб.;MTS BANK | MASTERCARD | 4138 6099 1498 4802;2024-01-19T13:00
Агеев Константин Станиславович;20 87 964040;782-723-375 18;воспаление десен, отек;Стоматолог;2024-06-24T16:00;рентген зубов + общий анализ крови + биохимический анализ крови;2024-06-25T17:30;2400 руб.;VTB BANK | MASTERCARD | 1855 3765 7569 5042;2024-06-26T18:30
Долгов Виталий Владиславович;N77867489;742-277-465 52;нарушения сна, перепады настроения, тревожность;Психиатр;2024-10-08T08:00;биохимический анализ крови;2024-10-10T13:00;850 руб.;SBERBANK OF RUSSIA | MIR | 8848 4833 3372 4085;2024-10-11T14:00
Смирнов Иван Елисеевич;54 72 601158;446-791-684 74;снижение аппетита, необъяснимая потеря веса, хроническая усталость;Онколог;2024-11-27T10:00;онкомаркеры + биохимический анализ крови;2024-11-29T15:00;3250 руб.;TINKOFF BANK | MIR | 4509 5448 7862 4273;2024-12-02T16:00
Княжевич Василий Михайлович;77 18 790772;435-948-133 82;выраженная боль в груди;Кардиохирург;2024-04-26T08:00;эхокардиография;2024-04-29T12:00;4500 руб.;TINKOFF BANK | MASTERCARD | 2334 9067 6355 2943;2024-04-30T13:00
Данилов Николай Валерьевич;AB8405966;960-120-304 44;боли в животе неясного происхождения, дискомфорт после еды;Эндоскопист;2024-10-07T12:00;ФГДС + общий анализ крови + колоноскопия;2024-10-10T13:30;13850 руб.;VTB BANK | MASTERCARD | 1510 5553 3733 5147;2024-10-11T14:30
Коновалов Клим Михайлович;15 16 940983;687-665-371 53;реакции на раздражители;Аллерголог;2024-09-16T12:00;биохимический анализ крови;2024-09-19T10:30;850 руб.;MTS BANK | MIR | 6451 8464 3580 1799;2024-09-20T11:30
Денисов Григорий Николаевич;36 33 303980;944-807-554 58;кашель, затрудненное дыхание;Пульмонолог;2024-03-27T09:00;спирометрия;2024-03-28T09:30;1800 руб.;VTB BANK | MIR | 5705 5383 4338 3274;2024-03-29T10:30
Горбунов Арсений Львович;AB1366118;628-260-460 29;ограничение функции, отек тканей;Хирург;2024-02-28T17:00;УЗИ органов брюшной полости + биохимический анализ крови;2024-03-04T13:00;3350 руб.;VTB BANK | MASTERCARD | 8530 9080 8032 9896;2024-03-05T14:00
Герасимов Сергей Тимофеевич;85 28 311655;468-719-279 88;воспаление;Хирург;2024-03-04T09:00;УЗИ органов брюшной полости + общий анализ крови;2024-03-06T09:00;3350 руб.;VTB BANK | MIR | 1258 8494 7696 6156;2024-03-07T10:00
Быков Марк Владимирович;15 60 413924;599-876-133 77;трудности произношения, нарушения речи, замедленная речь;Логопед;2024-01-22T15:00;общий анализ крови + аудиометрия + психодиагностика;2024-01-24T13:00;7050 руб.;MTS BANK | MIR | 1825 7434 5452 1564;2024-01-25T14:00
Миронов Валерий Богданович;N86797428;725-529-279 20;проблемы с весом, пищевой дискомфорт, нарушение питания;Диетолог;2024-10-21T10:00;биохимический анализ крови + глюкоза крови;2024-10-23T15:00;1110 руб.;VTB BANK | MASTERCARD | 7819 5800 8868 5784;2024-10-24T16:00
Баранов Анатолий Семенович;AB3989026;157-475-602 86;утомляемость, нарушение осанки, дискомфорт при ходьбе;Ортопед;2024-03-01T14:00;рентген грудной клетки;2024-03-04T14:30;1200 руб.;GAZPROMBANK | MIR | 1392 7878 9250 1781;2024-03-05T15:30
Третьяков Георгий Константинович;59 10 163404;682-109-539 44;отечность;Аллерголог;2024-07-25T08:00;общий анализ крови;2024-07-29T14:00;850 руб.;GAZPROMBANK | VISA | 3227 1760 9136 1329;2024-07-30T15:00
Фролов Эдуард Игоревич;AB7354582;453-860-836 85;изменение мочи, слабость, боль в пояснице;Нефролог;2024-09-27T17:00;бактериологический посев мочи;2024-09-30T10:30;900 руб.;TINKOFF BANK | MASTERCARD | 8256 5841 8433 5081;2024-10-01T11:30
Брагилев Григорий Николаевич;76 15 111142;183-358-568 65;необъяснимая потеря веса, снижение аппетита, уплотнения;Онколог;2024-06-17T10:00;онкомаркеры;2024-06-19T16:30;2400 руб.;TINKOFF BANK | MASTERCARD | 2758 1814 8005 6074;2024-06-20T17:30
Ульянов Виктор Викторович;56 17 732168;322-877-925 66;атипичные проявления, необъяснимые симптомы, наследственные риски;Генетик;2024-07-29T13:00;биохимический анализ крови;2024-07-31T18:00;850 руб.;VTB BANK | MIR | 6313 2658 5166 5282;2024-08-01T13:00
Агапов Сергей Николаевич;99 86 184020;238-272-104 87;тошнота, вздутие;Гастроэнтеролог;2024-02-12T15:00;биохимический анализ крови + общий анализ крови + ФГДС;2024-02-14T08:00;7200 руб.;VTB BANK | MIR | 6330 8097 8497 2812;2024-02-15T09:00
Кожевников Захар Валерьевич;56 10 600835;760-671-109 41;головокружение, одышка, перебои сердечного ритма;Кардиолог;2024-10-17T14:00;ЭКГ;2024-10-21T17:30;1500 руб.;GAZPROMBANK | MIR | 9118 3126 3861 1271;2024-10-22T18:30
Власов Тимур Ростиславович;86 27 595298;470-753-416 78;нестабильная температура, слабость;Терапевт;2024-08-22T10:00;общий анализ мочи + биохимический анализ крови;2024-08-23T12:00;1140 руб.;TINKOFF BANK | MIR | 7088 2776 1082 2116;2024-08-26T13:00
Быков Демид Михайлович;AB2177791;654-963-324 21;потеря интереса, тревожность, апатия;Психиатр;2024-07-15T17:00;биохимический анализ крови + психодиагностика + общий анализ крови;2024-07-17T13:00;6700 руб.;TINKOFF BANK | MASTERCARD | 2068 8766 4819 3258;2024-07-18T14:00
Зиновьев Кирил Степанович;68 69 254043;190-248-111 14;дыхательный дискомфорт, ощущение нехватки воздуха;Пульмонолог;2024-11-01T08:00;спирометрия;2024-11-04T11:00;1800 руб.;SBERBANK OF RUSSIA | VISA | 2657 3972 1496 6438;2024-11-05T12:00
Ларионов Александр Федорович;AB7323686;555-483-659 19;хронические боли, мышечное напряжение;Физиотерапевт;2024-09-13T16:00;дарсонвализация;2024-09-16T15:00;500 руб.;TINKOFF BANK | MIR | 1779 8769 8865 4761;2024-09-17T16:00
Киселев Павел Иванович;67 65 765588;731-442-240 57;острая локальная боль;Хирург;2024-03-11T08:00;УЗИ органов брюшной полости + общий анализ крови + биохимический анализ крови;2024-03-13T13:00;4200 руб.;TINKOFF BANK | MASTERCARD | 3770 6575 4974 8296;2024-03-14T14:00
Симонов Макар Дмитриевич;19 27 131799;919-347-788 58;дыхательный дискомфорт, затрудненное дыхание, кашель;Пульмонолог;2024-10-21T11:00;общий анализ крови + рентген грудной клетки;2024-10-22T16:00;2050 руб.;MTS BANK | VISA | 9909 9094 9427 7374;2024-10-23T17:00
Захаров Святослав Иванович;92 92 835037;152-533-273 39;отказ от еды, сыпь, кашель;Педиатр;2024-12-27T17:00;общий анализ мочи + общий анализ крови + биохимический анализ крови;2024-12-30T16:00;1990 руб.;GAZPROMBANK | MASTERCARD | 8166 4859 4024 1795;2024-12-31T17:00
Казаков Михаил Алексеевич;72 65 224561;591-798-144 80;покраснение кожи;Дерматолог;2024-08-26T08:00;биохимический анализ крови;2024-08-28T16:00;850 руб.;GAZPROMBANK | MIR | 4957 6476 1868 1856;2024-08-29T17:00
Лихачев Харитон Егорович;N41990170;462-352-778 44;пищевой дискомфорт, проблемы с весом, усталость;Диетолог;2024-08-28T12:00;биохимический анализ крови + глюкоза крови + общий анализ мочи;2024-08-30T17:30;1400 руб.;TINKOFF BANK | MASTERCARD | 7175 1072 4969 3646;2024-09-02T18:30
Шубин Кирил Владимирович;64 55 883919;706-214-977 86;повышение давления, изменение мочи;Нефролог;2024-12-03T15:00;бактериологический посев мочи;2024-12-05T17:00;900 руб.;GAZPROMBANK | MASTERCARD | 9247 1378 6748 4947;2024-12-06T18:00
Жуков Марк Валентинович;60 33 335212;779-969-779 74;отек, синяки;Травматолог;2024-08-19T11:00;общий анализ крови;2024-08-20T13:00;850 руб.;SBERBANK OF RUSSIA | MIR | 8031 1407 6542 5560;2024-08-21T14:00
Казаков Федор Романович;54 27 516961;990-197-687 55;утомляемость, мышечная слабость, снижение подвижности;Реабилитолог;2024-08-12T16:00;общий анализ крови + механотерапия;2024-08-15T12:00;1450 руб.;TINKOFF BANK | MASTERCARD | 5621 4785 6832 2030;2024-08-16T13:00
Жданов Ратмир Захарович;38 96 873860;109-988-422 30;потеря интереса;Психиатр;2024-06-05T09:00;общий анализ крови + биохимический анализ крови;2024-06-06T09:30;1700 руб.;VTB BANK | MIR | 7720 4797 9592 1900;2024-06-07T10:30
Лебедев Михаил Филиппович;AB8837208;951-665-702 95;деформация;Травматолог;2024-05-08T12:00;МРТ сустава + рентген сустава;2024-05-09T15:00;8000 руб.;SBERBANK OF RUSSIA | MIR | 3827 8911 6040 9946;2024-05-10T16:00
Блинов Андрей Эдуардович;N33023847;452-384-629 41;перепады настроения;Психиатр;2024-06-13T13:00;биохимический анализ крови + общий анализ крови + психодиагностика;2024-06-17T13:00;6700 руб.;TINKOFF BANK | MASTERCARD | 6593 1583 2266 6758;2024-06-18T14:00
Федоров Захар Константинович;20 19 661326;985-868-376 24;необъяснимая потеря веса, хроническая усталость, снижение аппетита;Онколог;2024-05-07T13:00;биохимический анализ крови;2024-05-09T09:00;850 руб.;MTS BANK | MASTERCARD | 9447 8204 6606 2790;2024-05-10T10:00
Колесников Виталий Васильевич;N22598879;522-373-486 56;изменение мочи;Нефролог;2024-04-22T15:00;общий анализ мочи;2024-04-25T11:00;290 руб.;SBERBANK OF RUSSIA | MIR | 7028 5126 2321 5467;2024-04-26T12:00
Царев Сергей Елисеевич;57 96 102964;712-759-821 97;нестабильный пульс;Кардиохирург;2024-08-16T09:00;эхокардиография + коагулограмма;2024-08-19T15:30;5300 руб.;GAZPROMBANK | MIR | 4017 7964 3581 7853;2024-08-20T16:30
Данилов Макар Ильич;35 65 976599;666-663-485 77;мышечное напряжение, скованность, хронические боли;Физиотерапевт;2024-06-26T14:00;магнитотерапия + дарсонвализация + ультразвуковая терапия;2024-07-01T10:00;1300 руб.;TINKOFF BANK | VISA | 5393 4309 8497 2000;2024-07-02T11:00
Суворов Федор Тимофеевич;18 13 399899;745-907-538 20;сыпь, повышенная температура;Педиатр;2024-08-27T15:00;общий анализ крови;2024-08-29T13:00;850 руб.;GAZPROMBANK | MASTERCARD | 6123 5280 3971 8227;2024-08-30T14:00
Пономарев Евгений Глебович;AB3900378;528-438-286 24;слабость, нестабильная температура;Терапевт;2024-07-22T11:00;общий анализ крови + биохимический анализ крови;2024-07-25T09:00;1700 руб.;GAZPROMBANK | MASTERCARD | 4267 3621 2885 8392;2024-07-26T10:00
Потапов Никита Глебович;AB6739970;255-842-131 48;утомляемость, замедленное восстановление, мышечная слабость;Реабилитолог;2024-09-16T13:00;механотерапия + консультация врача-реабилитолога + общий анализ крови;2024-09-19T16:30;6050 руб.;MTS BANK | MIR | 7617 8061 3778 6749;2024-09-20T17:30
Гаврилов Клим Игоревич;AB6861174;944-750-169 97;воспаление, острая локальная боль, покраснение;Хирург;2024-10-07T17:00;общий анализ крови + УЗИ органов брюшной полости;2024-10-09T10:00;3350 руб.;VTB BANK | MIR | 5258 2476 4590 1733;2024-10-10T11:00
Лыткин Илья Семенович;N44303006;307-336-670 35;пищевой дискомфорт, снижение энергии;Диетолог;2024-02-26T14:00;глюкоза крови + общий анализ мочи + биохимический анализ крови;2024-02-28T09:00;1400 руб.;VTB BANK | MASTERCARD | 7762 3279 8296 5629;2024-02-29T10:00
Брагилев Пётр Николаевич;AB6888532;830-422-843 48;покраснение, воспаление, отек тканей;Хирург;2024-05-01T15:00;биохимический анализ крови + УЗИ органов брюшной полости;2024-05-03T09:30;3350 руб.;SBERBANK OF RUSSIA | MASTERCARD | 3553 8659 8213 7626;2024-05-06T10:30
Васильев Савелий Валентинович;N40466372;289-403-212 99;замедленная реакция;Невролог;2024-04-22T13:00;общий анализ крови + ЭЭГ;2024-04-25T14:30;2650 руб.;GAZPROMBANK | MIR | 9802 2974 4585 4772;2024-04-26T15:30
Брагилев Павел Тимофеевич;AB1041993;282-257-887 60;перебои сердечного ритма, головокружение, одышка;Кардиолог;2024-09-30T14:00;ЭКГ + эхокардиография + коагулограмма;2024-10-01T16:30;6800 руб.;TINKOFF BANK | MIR | 5278 2837 7999 1974;2024-10-02T17:30
Игнатов Илья Данилович;AB3041124;587-817-842 11;мышечное напряжение;Физиотерапевт;2024-09-05T17:00;дарсонвализация + магнитотерапия + ультразвуковая терапия;2024-09-09T10:30;1300 руб.;GAZPROMBANK | MASTERCARD | 9886 9362 8387 1809;2024-09-10T11:30
Лыткин Харитон Яковлевич;18 56 185815;508-335-169 46;тревожные мысли, стресс, трудности расслабления;Психотерапевт;2024-09-27T09:00;психодиагностика;2024-09-30T18:00;5000 руб.;VTB BANK | MIR | 6126 9646 6604 3120;2024-10-01T15:30
Крюков Корней Максимович;14 68 612904;387-801-800 74;тревожность, апатия;Психиатр;2024-05-23T16:00;биохимический анализ крови + психодиагностика + общий анализ крови;2024-05-27T14:30;6700 руб.;GAZPROMBANK | MASTERCARD | 8463 5445 7542 5438;2024-05-28T15:30
Панов Савва Олегович;N93830877;223-787-893 18;воспаление, покраснение;Хирург;2024-11-05T17:00;общий анализ крови + УЗИ органов брюшной полости + биохимический анализ крови;2024-11-08T15:00;4200 руб.;SBERBANK OF RUSSIA | MIR | 4096 4412 8902 4558;2024-11-11T16:00
Большаков Савва Глебович;86 39 417695;604-952-459 35;боли в суставах, нарушение осанки, скованность движений;Ортопед;2024-10-23T15:00;общий анализ крови;2024-10-24T17:00;850 руб.;GAZPROMBANK | MIR | 2271 8833 4252 2983;2024-10-25T18:00
Дементьев Захар Станиславович;81 43 701699;311-544-398 93;ухудшение переносимости нагрузки, нестабильный пульс, обморочные состояния;Кардиохирург;2024-01-19T13:00;ЭКГ + эхокардиография + коагулограмма;2024-01-22T10:00;6800 руб.;GAZPROMBANK | VISA | 1845 4724 9942 3076;2024-01-23T11:00
Максимов Виталий Михайлович;19 28 105555;455-349-459 59;скованность, ограничение подвижности;Физиотерапевт;2024-03-04T15:00;дарсонвализация + магнитотерапия + ультразвуковая терапия;2024-03-05T10:30;1300 руб.;MTS BANK | MIR | 7811 8098 3522 5645;2024-03-06T11:30
Левин Никита Вадимович;AB9608110;538-176-800 51;дыхательный дискомфорт, стеснение в груди, затрудненное дыхание;Пульмонолог;2024-04-15T15:00;общий анализ крови + рентген грудной клетки + спирометрия;2024-04-18T12:30;3850 руб.;VTB BANK | MIR | 9331 6652 5477 4144;2024-04-19T13:30
Долгов Геннадий Яковлевич;32 24 280978;748-162-884 93;изменение мочи;Нефролог;2024-02-15T17:00;бактериологический посев мочи + общий анализ мочи + УЗИ почек и мочевого пузыря;2024-02-19T10:30;3690 руб.;GAZPROMBANK | MIR | 8521 9871 5470 2327;2024-02-20T11:30
Васильев Вадим Данилович;88 51 643870;699-304-199 83;чувствительность, воспаление десен, отек;Стоматолог;2024-10-25T14:00;общий анализ крови;2024-10-28T10:00;850 руб.;VTB BANK | MASTERCARD | 1283 8463 9444 4941;2024-10-29T11:00
Тихонов Гордей Егорович;97 57 483689;758-344-146 83;замедленное восстановление, снижение подвижности, утомляемость;Реабилитолог;2024-08-12T13:00;механотерапия + консультация врача-реабилитолога;2024-08-14T11:00;5200 руб.;SBERBANK OF RUSSIA | MIR | 2441 7544 7700 1343;2024-08-15T12:00
Смирнов Роман Эдуардович;94 21 836362;781-910-514 97;чувствительность, неприятный запах, отек;Стоматолог;2024-08-28T16:00;общий анализ крови + рентген зубов;2024-09-02T09:00;1550 руб.;GAZPROMBANK | MIR | 9878 4655 9985 7535;2024-09-03T10:00
Дмитриев Артём Николаевич;41 79 105706;436-129-834 29;трудности глотания, боли в животе неясного происхождения;Эндоскопист;2024-04-08T15:00;колоноскопия + ФГДС + общий анализ крови;2024-04-11T12:00;13850 руб.;SBERBANK OF RUSSIA | MIR | 2001 2638 2585 6858;2024-04-12T13:00
Данилов Игнат Давидович;12 27 989639;762-201-532 73;деформация, боль после повреждения;Травматолог;2024-01-15T12:00;общий анализ крови + МРТ сустава + рентген сустава;2024-01-17T12:00;8850 руб.;SBERBANK OF RUSSIA | MASTERCARD | 8725 4243 4621 2358;2024-01-18T13:00
Захаров Пётр Вадимович;N20171304;245-333-805 46;напряжение глаз, ухудшение зрения, светочувствительность;Офтальмолог;2024-03-18T17:00;томография глаза;2024-03-21T14:00;400 руб.;SBERBANK OF RUSSIA | MIR | 2511 3203 8010 9653;2024-03-22T15:00
Павлов Станислав Федорович;AB9928156;677-288-747 54;чувствительность;Стоматолог;2024-09-13T12:00;общий анализ крови + биохимический анализ крови;2024-09-16T17:00;1700 руб.;GAZPROMBANK | MIR | 8133 3624 4354 5687;2024-09-17T18:00
Щербаков Клим Аркадьевич;N35025628;401-222-474 58;чихание, кожные проявления, слезоточивость;Аллерголог;2024-10-01T13:00;общий анализ крови + аллергопробы + биохимический анализ крови;2024-10-03T13:00;3700 руб.;GAZPROMBANK | VISA | 8496 1243 9258 7606;2024-10-04T14:00
Васильев Николай Никифорович;24 69 460166;876-723-796 13;светочувствительность, сухость, двоение;Офтальмолог;2024-12-20T17:00;томография глаза + офтальмоскопия + общий анализ крови;2024-12-23T14:00;1850 руб.;VTB BANK | MASTERCARD | 3557 8079 6393 5594;2024-12-24T15:00
Дементьев Сергей Федорович;39 85 101537;868-505-912 16;изменение мочи, повышение давления;Нефролог;2024-03-15T08:00;общий анализ мочи + УЗИ почек и мочевого пузыря;2024-03-18T11:00;2790 руб.;MTS BANK | MASTERCARD | 4980 9481 2837 6072;2024-03-19T12:00
Самойлов Лев Федорович;62 19 715219;546-112-445 86;перебои сердечного ритма;Кардиолог;2024-03-11T11:00;ЭКГ + эхокардиография + общий анализ крови;2024-03-12T17:00;6850 руб.;MTS BANK | MASTERCARD | 7926 2268 1555 6390;2024-03-13T18:00
Колобов Владислав Львович;35 62 856525;291-992-233 89;снижение аппетита;Онколог;2024-01-22T14:00;общий анализ крови + биохимический анализ крови + онкомаркеры;2024-01-23T18:00;4100 руб.;VTB BANK | MASTERCARD | 9774 2520 2889 8694;2024-01-24T14:00
Костин Эдуард Михайлович;AB1006788;802-483-795 57;изменение мочи, отеки;Нефролог;2024-11-05T09:00;УЗИ почек и мочевого пузыря + общий анализ мочи;2024-11-07T13:00;2790 руб.;GAZPROMBANK | MIR | 1840 7024 5520 9230;2024-11-08T14:00
Макаров Кирил Захарович;49 35 997510;576-889-400 45;кашель, дыхательный дискомфорт;Пульмонолог;2024-01-15T14:00;общий анализ крови + рентген грудной клетки;2024-01-18T09:00;2050 руб.;GAZPROMBANK | VISA | 1853 2137 5831 3066;2024-01-19T10:00
Гусев Гавриил Юрьевич;60 25 703555;246-766-885 86;двоение, сухость;Офтальмолог;2024-02-19T12:00;офтальмоскопия + общий анализ крови + томография глаза;2024-02-21T13:30;1850 руб.;VTB BANK | VISA | 8617 2462 1229 5813;2024-02-22T14:30
Дроздов Дмитрий Васильевич;94 91 690428;813-411-612 88;атипичные проявления, врожденные особенности;Генетик;2024-04-15T13:00;общий анализ крови + генетический анализ;2024-04-16T12:00;12850 руб.;TINKOFF BANK | MASTERCARD | 9912 5817 4247 5221;2024-04-17T13:00
Архипов Семён Сергеевич;24 52 152156;403-819-400 15;хроническая усталость, длительная боль;Онколог;2024-02-05T09:00;биохимический анализ крови + общий анализ крови + онкомаркеры;2024-02-07T10:00;4100 руб.;VTB BANK | MIR | 4502 9725 4769 6283;2024-02-08T11:00
Маслов Даниил Иванович;N55409518;141-615-725 35;щелчки при глотании, снижение слуха;Лор;2024-12-05T12:00;аудиометрия + общий анализ крови + мазок из зева;2024-12-09T14:00;2850 руб.;TINKOFF BANK | MASTERCARD | 7967 1318 1517 5611;2024-12-10T15:00
Игнатьев Тимур Сергеевич;AB2441558;359-696-469 72;боли в суставах, дискомфорт при ходьбе, скованность движений;Ортопед;2024-04-05T09:00;МРТ позвоночника;2024-04-08T17:30;6500 руб.;TINKOFF BANK | MASTERCARD | 2599 7482 7191 9225;2024-04-09T18:30
Андреев Игнат Петрович;AB5353320;995-455-585 81;общее недомогание, слабость;Терапевт;2024-03-26T13:00;биохимический анализ крови + общий анализ крови;2024-03-27T15:00;1700 руб.;SBERBANK OF RUSSIA | VISA | 5817 8238 1254 7238;2024-03-28T16:00
Исаков Марк Павлович;AB9257696;529-839-103 75;необъяснимая потеря веса;Онколог;2024-09-11T14:00;общий анализ крови;2024-09-13T12:00;850 руб.;SBERBANK OF RUSSIA | VISA | 9643 7154 5646 7164;2024-09-16T13:00
