ФИО;Паспорт;СНИЛС;Симптомы;Врач;Дата визита;Анализы;Дата получения;Стоимость;Карта;Повторный прием
Карпов Марк Эдуардович;40 52 589639;100-331-575 56;чихание;Аллерголог;2024-05-13T14:00;аллергопробы + биохимический анализ крови;2024-05-15T15:00;2850 руб.;TINKOFF BANK | MIR | 7588 5021 1458 1872;2024-05-16T16:00
Кузьмин Ярослав Алексеевич;N21358292;863-136-218 24;покраснение кожи;Дерматолог;2024-09-05T09:00;соскоб кожи на грибки;2024-09-06T16:30;700 руб.;GAZPROMBANK | VISA | 2057 5322 3375 4646;2024-09-09T17:30
Журавлев Семён Петрович;AB8616140;955-149-874 72;снижение аппетита, хроническая усталость, длительная боль;Онколог;2024-09-11T14:00;онкомаркеры + общий анализ крови;2024-09-13T11:30;3250 руб.;VTB BANK | MASTERCARD | 5857 2035 2691 5521;2024-09-16T12:30
Смирнов Матвей Романович;N84809902;983-440-159 31;хронические боли, замедленное восстановление;Физиотерапевт;2024-02-08T15:00;ультразвуковая терапия + дарсонвализация;2024-02-12T09:00;950 руб.;TINKOFF BANK | MASTERCARD | 6564 6397 7619 6507;2024-02-13T10:00
Авдеев Александр Григорьевич;N91720814;371-868-263 76;чувствительность, отек, неприятный запах;Стоматолог;2024-03-18T11:00;рентген зубов;2024-03-20T14:30;700 руб.;GAZPROMBANK | VISA | 3043 1114 9804 1582;2024-03-21T15:30
Соболев Клим Леонидович;N58307306;914-494-915 57;скованность, замедленное восстановление;Физиотерапевт;2024-08-12T16:00;магнитотерапия + дарсонвализация;2024-08-15T15:30;850 руб.;MTS BANK | VISA | 1564 5289 3931 3495;2024-08-16T16:30
Лыткин Егор Филиппович;N46532301;444-996-317 26;боль после повреждения, отек, синяки;Травматолог;2024-10-25T17:00;общий анализ крови + рентген сустава + МРТ сустава;2024-10-28T16:30;8850 руб.;MTS BANK | VISA | 9646 6238 1728 5028;2024-10-29T17:30
Суворов Всеволод Елисеевич;N85867827;615-894-756 46;неприятный запах, воспаление десен;Стоматолог;2024-05-06T11:00;рентген зубов + биохимический анализ крови;2024-05-08T11:00;1550 руб.;TINKOFF BANK | MASTERCARD | 5791 2969 9473 3539;2024-05-09T12:00
Агеев Савелий Константинович;AB1209559;611-483-448 55;врожденные особенности;Генетик;2024-03-26T13:00;биохимический анализ крови;2024-03-28T09:30;850 руб.;MTS BANK | VISA | 1893 6317 5525 8243;2024-03-29T10:30
Куприянов Владислав Дмитриевич;26 46 804524;477-724-961 77;слабость при нагрузке, одышка, дискомфорт в груди;Кардиолог;2024-04-24T09:00;коагулограмма + общий анализ крови + ЭКГ;2024-04-26T10:00;3150 руб.;VTB BANK | MIR | 5057 2693 3854 3119;2024-04-29T11:00
Поляков Василий Олегович;AB8329245;531-286-260 62;трудности расслабления, тревожные мысли;Психотерапевт;2024-08-05T12:00;общий анализ крови;2024-08-07T16:00;850 руб.;VTB BANK | VISA | 9488 2789 7606 5025;2024-08-08T17:00
Воронцов Эдуард Елисеевич;AB2059564;371-502-310 47;нарушения речи;Логопед;2024-08-02T15:00;аудиометрия + психодиагностика + общий анализ крови;2024-08-05T15:00;7050 руб.;MTS BANK | VISA | 3730 3214 3928 8158;2024-08-06T16:00
Княжевич Григорий Валентинович;AB1174593;617-887-151 28;трудности глотания, подозрение на внутренние изменения;Эндоскопист;2024-01-08T16:00;колоноскопия + общий анализ крови + ФГДС;2024-01-11T12:00;13850 руб.;VTB BANK | VISA | 3173 5801 4649 6311;2024-01-12T13:00
Бобров Кузьма Филиппович;N48353531;548-980-177 24;общее недомогание, снижение энергии;Терапевт;2024-04-26T12:00;общий анализ мочи + биохимический анализ крови + общий анализ крови;2024-04-29T14:00;1990 руб.;VTB BANK | VISA | 7204 2989 1867 4828;2024-04-30T15:00
Беляков Влад Константинович;N82294415;112-326-679 30;дискомфорт при ходьбе;Ортопед;2024-04-22T16:00;МРТ позвоночника + рентген грудной клетки;2024-04-25T13:00;7700 руб.;TINKOFF BANK | MIR | 4990 4733 6164 7975;2024-04-26T14:00
Одинцов Давид Артемьевич;N28852245;474-188-647 40;выраженная боль в груди;Кардиохирург;2024-02-12T13:00;ЭКГ;2024-02-14T17:30;1500 руб.;MTS BANK | MASTERCARD | 5296 8285 3235 6890;2024-02-15T18:30
Горбунов Влад Романович;AB2798802;671-606-715 48;проблемы с весом;Диетолог;2024-02-26T12:00;общий анализ мочи + глюкоза крови;2024-02-28T14:00;550 руб.;VTB BANK | VISA | 6115 4707 1128 6061;2024-02-29T15:00
Лаврентьев Леон Ярославович;N94506542;712-362-874 39;общее недомогание, слабость;Терапевт;2024-10-10T09:00;общий анализ крови + общий анализ мочи;2024-10-14T16:30;1140 руб.;TINKOFF BANK | VISA | 8531 3920 1682 4948;2024-10-15T17:30
Крылов Михаил Глебович;N26620161;836-392-338 43;напряжение голоса, нарушения речи;Логопед;2024-01-17T17:00;общий анализ крови + аудиометрия;2024-01-19T18:00;2050 руб.;GAZPROMBANK | MIR | 8086 6388 7029 3327;2024-01-22T13:00
Комаров Лев Викторович;AB8041241;111-542-727 85;снижение энергии, нестабильная температура;Терапевт;2024-01-04T11:00;биохимический анализ крови + общий анализ крови;2024-01-05T11:30;1700 руб.;VTB BANK | MIR | 5900 3741 5587 6213;2024-01-08T12:30
Шестаков Леонид Алексеевич;AB4417956;267-495-587 75;снижение слуха, дискомфорт в носоглотке;Лор;2024-12-24T08:00;аудиометрия + общий анализ крови + мазок из зева;2024-12-27T14:30;2850 руб.;VTB BANK | MASTERCARD | 9711 5293 5190 8126;2024-12-30T15:30
Агапов Радимир Георгиевич;N38970029;219-313-172 89;тревожные мысли, эмоциональное напряжение, выгорание;Психотерапевт;2024-05-20T11:00;психодиагностика + общий анализ крови + ЭЭГ;2024-05-22T10:00;7650 руб.;GAZPROMBANK | MIR | 9693 1939 5573 2836;2024-05-23T11:00
Алехин Сергей Игоревич;AB1660735;959-604-140 14;сыпь;Педиатр;2024-01-15T14:00;общий анализ мочи + общий анализ крови + биохимический анализ крови;2024-01-17T16:00;1990 руб.;MTS BANK | VISA | 6689 9944 1851 2938;2024-01-18T17:00
Муравьев Мирон Артемьевич;N94468273;970-598-155 75;проблемы с весом, снижение энергии;Диетолог;2024-10-14T09:00;глюкоза крови;2024-10-17T09:00;260 руб.;SBERBANK OF RUSSIA | MASTERCARD | 7110 9451 4985 7457;2024-10-18T10:00
Сафонов Максим Игоревич;10 53 573920;809-725-805 18;системные нарушения, необъяснимые симптомы;Генетик;2024-06-20T10:00;биохимический анализ крови + генетический анализ + общий анализ крови;2024-06-24T12:30;13700 руб.;SBERBANK OF RUSSIA | VISA | 6493 4209 9677 1671;2024-06-25T13:30
Игнатьев Дмитрий Владимирович;21 73 293202;638-596-364 89;головная боль, мышечные подергивания;Невролог;2024-12-18T10:00;общий анализ крови + ЭЭГ;2024-12-19T18:00;2650 руб.;SBERBANK OF RUSSIA | MIR | 9698 5572 4829 2115;2024-12-20T17:00
Миронов Егор Антонович;N99471488;657-629-880 46;вялость;Неонатолог;2024-01-29T09:00;общий анализ мочи + общий анализ крови;2024-01-30T14:30;1140 руб.;SBERBANK OF RUSSIA | MASTERCARD | 3375 4065 4985 5210;2024-01-31T15:30
Блинов Кирил Тимурович;AB6083656;469-591-175 72;утомляемость, скованность;Реабилитолог;2024-10-14T15:00;механотерапия;2024-10-16T11:30;600 руб.;MTS BANK | MASTERCARD | 7034 1286 4340 4947;2024-10-17T12:30
Княжевич Игорь Валерьевич;N20345670;170-881-176 83;отек, синяки;Травматолог;2024-09-05T12:00;МРТ сустава;2024-09-09T17:00;6500 руб.;GAZPROMBANK | MASTERCARD | 1726 2677 7708 8165;2024-09-10T18:00
Тимофеев Радимир Евгеньевич;25 41 175964;926-161-800 70;апатия, нарушения сна;Психиатр;2024-12-09T15:00;общий анализ крови + психодиагностика + биохимический анализ крови;2024-12-10T17:30;6700 руб.;TINKOFF BANK | VISA | 6521 8092 3147 3441;2024-12-11T18:30
Хохлов Яков Станиславович;AB4687609;827-423-912 59;дискомфорт при ходьбе;Ортопед;2024-07-26T08:00;рентген грудной клетки + общий анализ крови;2024-07-29T15:00;2050 руб.;TINKOFF BANK | MIR | 4210 6153 9999 3269;2024-07-30T16:00
Брагин Яков Игоревич;73 85 427161;294-834-880 13;вялость;Неонатолог;2024-12-02T09:00;биохимический анализ крови;2024-12-03T12:00;850 руб.;MTS BANK | VISA | 7270 2978 2890 4270;2024-12-04T13:00
Селезнев Константин Дмитриевич;N60182865;564-692-613 94;отек, боль после повреждения;Травматолог;2024-10-14T08:00;МРТ сустава + рентген сустава + общий анализ крови;2024-10-15T11:30;8850 руб.;MTS BANK | MIR | 4458 6372 9019 3346;2024-10-16T12:30
Рогов Яков Олегович;84 51 476354;993-373-226 72;напряжение глаз, светочувствительность;Офтальмолог;2024-07-26T08:00;томография глаза;2024-07-29T11:00;400 руб.;SBERBANK OF RUSSIA | VISA | 5411 2134 6623 2865;2024-07-30T12:00
Исаков Михаил Иванович;47 64 121445;230-739-277 57;слезоточивость, реакции на раздражители, кожные проявления;Аллерголог;2024-05-27T12:00;аллергопробы;2024-05-29T17:00;2000 руб.;TINKOFF BANK | VISA | 2489 2273 9937 1742;2024-05-30T18:00
Тетерин Роман Русланович;AB4864633;509-249-715 91;неприятный запах;Стоматолог;2024-06-10T14:00;биохимический анализ крови + общий анализ крови + рентген зубов;2024-06-11T14:30;2400 руб.;GAZPROMBANK | MIR | 1962 1563 3238 5595;2024-06-12T15:30
Авдеев Анатолий Кириллович;AB3193716;246-623-847 53;покраснение кожи;Дерматолог;2024-08-26T16:00;соскоб кожи на грибки + общий анализ крови;2024-08-28T11:30;1550 руб.;SBERBANK OF RUSSIA | MASTERCARD | 5781 2135 8735 4344;2024-08-29T12:30
Степанов Емельян Иванович;41 99 692798;540-972-263 67;врожденные особенности;Генетик;2024-06-24T08:00;биохимический анализ крови + общий анализ крови;2024-06-26T12:30;1700 руб.;MTS BANK | MIR | 1117 2916 9762 2736;2024-06-27T13:30
Киселев Игнат Леонидович;AB6887717;493-476-949 74;боли в суставах;Ортопед;2024-08-26T17:00;общий анализ крови;2024-08-29T08:00;850 руб.;TINKOFF BANK | MASTERCARD | 6976 3985 6756 2543;2024-08-30T09:00
Харитонов Игнат Аркадьевич;N44446875;993-692-640 98;нарушения речи, напряжение голоса;Логопед;2024-03-22T10:00;психодиагностика + аудиометрия;2024-03-25T10:30;6200 руб.;SBERBANK OF RUSSIA | MASTERCARD | 5016 1335 2611 4249;2024-03-26T11:30
Захаров Валерий Глебович;AB6132083;221-630-877 48;тошнота, тяжесть после еды, изменение аппетита;Гастроэнтеролог;2024-11-14T16:00;общий анализ крови;2024-11-18T13:30;850 руб.;GAZPROMBANK | VISA | 2506 9522 5457 5669;2024-11-19T14:30
Хмельников Евдоким Глебович;78 52 555585;647-108-547 29;пищевой дискомфорт, нарушение питания, проблемы с весом;Диетолог;2024-06-10T15:00;глюкоза крови + общий анализ мочи + биохимический анализ крови;2024-06-12T14:00;1400 руб.;MTS BANK | VISA | 2346 6053 9271 2579;2024-06-13T15:00
Малахов Савва Арсеньевич;AB1779879;632-176-715 73;отечность;Аллерголог;2024-03-14T11:00;аллергопробы + биохимический анализ крови + общий анализ крови;2024-03-18T10:00;3700 руб.;MTS BANK | VISA | 8899 1216 2670 8829;2024-03-19T11:00
Козлов Евгений Елисеевич;N84689177;149-535-571 98;проблемы с весом, снижение энергии;Диетолог;2024-05-06T11:00;глюкоза крови + биохимический анализ крови + общий анализ мочи;2024-05-09T17:00;1400 руб.;VTB BANK | VISA | 7995 1606 9070 8885;2024-05-10T18:00
Овчинников Виктор Константинович;AB8454222;610-254-485 83;затрудненное дыхание, стеснение в груди;Пульмонолог;2024-12-02T16:00;спирометрия;2024-12-05T16:00;1800 руб.;VTB BANK | VISA | 9076 2327 3111 8652;2024-12-06T17:00
Алексееев Денис Тимурович;AB4622489;457-474-691 80;напряжение голоса;Логопед;2024-05-10T15:00;общий анализ крови + психодиагностика + аудиометрия;2024-05-13T14:00;7050 руб.;SBERBANK OF RUSSIA | MASTERCARD | 3306 5133 4546 1491;2024-05-14T15:00
Кулагин Елисей Олегович;32 37 949569;802-439-165 49;боли в животе неясного происхождения, подозрение на внутренние изменения, дискомфорт после еды;Эндоскопист;2024-07-23T08:00;общий анализ крови + ФГДС + колоноскопия;2024-07-24T12:00;13850 руб.;VTB BANK | MIR | 3773 6778 7384 9338;2024-07-25T13:00
Крылов Михаил Геннадьевич;N62188939;786-878-903 54;двоение;Офтальмолог;2024-05-21T13:00;томография глаза + офтальмоскопия;2024-05-23T09:00;1000 руб.;MTS BANK | MIR | 2626 1385 3344 4890;2024-05-24T10:00
Губанов Мирон Данилович;14 65 211726;574-732-994 24;неустойчивость;Невролог;2024-01-25T14:00;ЭЭГ + МРТ головного мозга;2024-01-29T12:00;9300 руб.;VTB BANK | VISA | 9817 4402 5092 9299;2024-01-30T13:00
Краснов Яков Ильич;AB8343488;278-531-708 58;апатия, нарушения сна, перепады настроения;Психиатр;2024-09-05T08:00;общий анализ крови + психодиагностика;2024-09-09T14:00;5850 руб.;GAZPROMBANK | VISA | 4580 2073 9928 6391;2024-09-10T15:00
Кузин Кузьма Валерьевич;33 73 583743;567-936-796 69;воспаление десен, неприятный запах, зубная боль;Стоматолог;2024-01-22T13:00;общий анализ крови + рентген зубов;2024-01-25T15:30;1550 руб.;GAZPROMBANK | MIR | 8290 8831 1568 8994;2024-01-26T16:30
Соколов Олег Коновалович;79 65 319902;227-655-661 75;боль в пояснице, изменение мочи, слабость;Нефролог;2024-01-22T13:00;бактериологический посев мочи;2024-01-25T09:00;900 руб.;SBERBANK OF RUSSIA | VISA | 5855 8713 1278 3702;2024-01-26T10:00
Рыбаков Тимур Кириллович;73 39 154740;711-579-945 85;ограничение подвижности, боль после повреждения, синяки;Травматолог;2024-06-24T09:00;МРТ сустава + общий анализ крови + рентген сустава;2024-06-25T15:00;8850 руб.;VTB BANK | MIR | 3586 2706 8561 1588;2024-06-26T16:00
Леонов Владислав Тимофеевич;N70143561;467-987-771 55;стеснение в груди, кашель, затрудненное дыхание;Пульмонолог;2024-06-19T12:00;спирометрия + рентген грудной клетки + общий анализ крови;2024-06-21T16:00;3850 руб.;MTS BANK | VISA | 5263 9992 9109 9958;2024-06-24T17:00
Трофимов Кузьма Сергеевич;N55015376;335-963-454 71;пищевой дискомфорт, снижение энергии;Диетолог;2024-07-12T13:00;общий анализ мочи + биохимический анализ крови;2024-07-15T09:00;1140 руб.;TINKOFF BANK | VISA | 1411 7859 3799 1183;2024-07-16T10:00
Коновчук Александр Федорович;81 60 674985;232-753-983 33;трудности глотания;Эндоскопист;2024-01-29T09:00;общий анализ крови + ФГДС + колоноскопия;2024-02-01T16:00;13850 руб.;VTB BANK | MIR | 9934 9164 8160 2100;2024-02-02T17:00
Лыткин Евгений Иванович;AB4551405;800-528-945 74;потеря интереса, перепады настроения;Психиатр;2024-10-04T12:00;биохимический анализ крови + психодиагностика + общий анализ крови;2024-10-07T12:00;6700 руб.;MTS BANK | MASTERCARD | 3894 7173 9231 9971;2024-10-08T13:00
Ситников Семен Геннадьевич;N32259610;617-825-110 35;першение в горле, снижение слуха, щелчки при глотании;Лор;2024-11-18T15:00;аудиометрия + мазок из зева + общий анализ крови;2024-11-21T10:00;2850 руб.;GAZPROMBANK | MIR | 8841 8770 5358 2391;2024-11-22T11:00
Тарасов Василий Алексеевич;96 94 679735;825-705-249 58;замедленное восстановление, мышечное напряжение;Физиотерапевт;2024-01-19T13:00;магнитотерапия;2024-01-22T17:00;350 руб.;SBERBANK OF RUSSIA | VISA | 5968 9818 9327 6976;2024-01-23T18:00
Одинцов Леон Семенович;AB8499709;845-579-811 60;нарушение терморегуляции;Эндокринолог;2024-04-11T10:00;ТТГ + анализ на гормоны щитовидной железы + глюкоза крови;2024-04-15T12:00;2170 руб.;GAZPROMBANK | MASTERCARD | 4638 7294 6093 3814;2024-04-16T13:00
Верховцев Евдоким Андреевич;86 65 706723;538-719-102 88;выраженная боль в груди;Кардиохирург;2024-11-11T09:00;ЭКГ + эхокардиография;2024-11-14T10:30;6000 руб.;GAZPROMBANK | MASTERCARD | 4721 8121 1961 1916;2024-11-15T11:30
Беляков Савелий Ростиславович;AB6416629;583-113-588 89;уплотнения;Онколог;2024-10-28T08:00;биохимический анализ крови + онкомаркеры + общий анализ крови;2024-10-30T09:00;4100 руб.;VTB BANK | VISA | 6319 9099 5021 2239;2024-10-31T10:00
Костин Андрей Никифорович;AB4051212;442-890-639 84;мышечные подергивания, неустойчивость, замедленная реакция;Невролог;2024-03-01T16:00;ЭЭГ;2024-03-04T12:00;1800 руб.;GAZPROMBANK | VISA | 2310 7883 4590 7835;2024-03-05T13:00
Игнатьев Тимофей Филиппович;81 70 184666;162-170-870 70;деформация, ограничение подвижности, синяки;Травматолог;2024-04-17T15:00;МРТ сустава + общий анализ крови;2024-04-19T14:00;7350 руб.;SBERBANK OF RUSSIA | VISA | 6872 9089 1071 9718;2024-04-22T15:00
Тимофеев Максим Всеволодович;N47683382;402-582-157 72;плохой набор веса, нестабильное дыхание, частые срыгивания;Неонатолог;2024-01-08T10:00;биохимический анализ крови + общий анализ мочи;2024-01-10T13:00;1140 руб.;TINKOFF BANK | MIR | 2970 3808 6936 5699;2024-01-11T14:00
Филатов Семён Григорьевич;AB6875253;695-947-374 65;сыпь, повышенная температура;Педиатр;2024-12-11T08:00;общий анализ мочи + биохимический анализ крови;2024-12-12T11:00;1140 руб.;VTB BANK | MIR | 5069 6575 3233 8680;2024-12-13T12:00
Ситников Тимур Маркович;49 24 476399;930-557-857 57;отек тканей, ограничение функции, воспаление;Хирург;2024-12-23T15:00;общий анализ крови + УЗИ органов брюшной полости;2024-12-26T13:30;3350 руб.;VTB BANK | VISA | 4560 9467 7731 4317;2024-12-27T14:30
Княжевич Гордей Олегович;N29860909;959-144-703 36;замедленное восстановление, ограничение подвижности, мышечное напряжение;Физиотерапевт;2024-03-13T11:00;ультразвуковая терапия + дарсонвализация + магнитотерапия;2024-03-15T10:00;1300 руб.;MTS BANK | VISA | 9598 2078 6270 7426;2024-03-18T11:00
Горбунов Всеволод Геннадьевич;20 15 655774;911-688-531 63;нарушение осанки;Ортопед;2024-10-14T14:00;рентген грудной клетки + МРТ позвоночника + общий анализ крови;2024-10-16T10:30;8550 руб.;VTB BANK | VISA | 8032 1180 5554 5901;2024-10-17T11:30
Долгов Евгений Александрович;AB4031092;367-358-482 57;усталость;Эндокринолог;2024-04-15T15:00;ТТГ + анализ на гормоны щитовидной железы + глюкоза крови;2024-04-17T14:00;2170 руб.;MTS BANK | MIR | 8975 9363 9477 4059;2024-04-18T15:00
Дмитриев Мирон Максимович;AB2068643;703-983-680 87;трудности произношения, заикание;Логопед;2024-09-02T15:00;общий анализ крови + психодиагностика;2024-09-05T13:00;5850 руб.;SBERBANK OF RUSSIA | MIR | 8631 3968 4151 4472;2024-09-06T14:00
Ульянов Александр Олегович;N77053446;260-631-280 85;заикание, нарушения речи;Логопед;2024-02-21T10:00;психодиагностика + общий анализ крови;2024-02-22T14:00;5850 руб.;TINKOFF BANK | MIR | 4358 5199 7272 5045;2024-02-23T15:00
Гаврилов Виктор Всеволодович;AB9715466;673-741-772 67;шелушение;Дерматолог;2024-06-17T14:00;соскоб кожи на грибки;2024-06-19T18:00;700 руб.;MTS BANK | MASTERCARD | 6678 6690 5045 6098;2024-06-20T09:30
Кожевников Руслан Павлович;N64075744;495-457-189 34;изменение аппетита;Гастроэнтеролог;2024-03-05T14:00;общий анализ крови + биохимический анализ крови + ФГДС;2024-03-07T14:00;7200 руб.;VTB BANK | MASTERCARD | 6067 5566 8324 7878;2024-03-08T15:00
Губанов Алексей Александрович;AB7057665;522-638-724 35;замедленное восстановление;Физиотерапевт;2024-10-11T14:00;ультразвуковая терапия + дарсонвализация;2024-10-14T17:30;950 руб.;MTS BANK | MIR | 8158 1838 3515 4898;2024-10-15T18:30
Суворов Геннадий Ярославович;AB4951785;481-413-860 49;мышечная слабость;Реабилитолог;2024-11-25T15:00;общий анализ крови + консультация врача-реабилитолога;2024-11-28T09:00;5450 руб.;MTS BANK | MIR | 1881 2344 1009 9278;2024-11-29T10:00
Тихонов Алексей Арсеньевич;AB7451974;786-319-726 83;дискомфорт в животе, тяжесть после еды, вздутие;Гастроэнтеролог;2024-12-09T10:00;биохимический анализ крови + ФГДС;2024-12-10T15:00;6350 руб.;VTB BANK | MASTERCARD | 9170 8297 3558 2652;2024-12-11T16:00
Долгов Давид Витальевич;AB2062912;429-401-794 62;выгорание;Психотерапевт;2024-05-21T08:00;общий анализ крови + ЭЭГ + психодиагностика;2024-05-23T16:30;7650 руб.;GAZPROMBANK | VISA | 3675 9850 2487 8675;2024-05-24T17:30
Голубев Никита Ильич;AB6003498;527-397-666 90;покраснение, воспаление, острая локальная боль;Хирург;2024-10-02T14:00;биохимический анализ крови + УЗИ органов брюшной полости;2024-10-03T18:00;3350 руб.;SBERBANK OF RUSSIA | MIR | 9059 8887 5909 7345;2024-10-04T11:30
Романов Захар Михайлович;11 26 447289;589-293-449 30;ухудшение переносимости нагрузки, выраженная боль в груди;Кардиохирург;2024-07-18T08:00;эхокардиография + коагулограмма;2024-07-19T17:30;5300 руб.;TINKOFF BANK | MIR | 5941 2414 2129 5361;2024-07-22T18:30
Мартынов Эдуард Егорович;N50325981;212-132-590 33;вялость, повышенная температура;Педиатр;2024-05-23T14:00;биохимический анализ крови + общий анализ мочи;2024-05-27T16:30;1140 руб.;SBERBANK OF RUSSIA | MIR | 1841 6184 5385 2512;2024-05-28T17:30
Коваленко Ростислав Богданович;AB8797078;275-114-256 52;перебои сердечного ритма, дискомфорт в груди, одышка;Кардиолог;2024-08-12T17:00;общий анализ крови + эхокардиография + коагулограмма;2024-08-13T13:00;6150 руб.;SBERBANK OF RUSSIA | VISA | 9864 2544 1730 2271;2024-08-14T14:00
Княжевич Иван Ильич;61 84 145989;215-729-860 54;трудности глотания;Эндоскопист;2024-02-15T13:00;колоноскопия + общий анализ крови;2024-02-16T14:30;8350 руб.;GAZPROMBANK | VISA | 4818 8910 4005 9130;2024-02-19T15:30
Борисов Максим Макарович;80 30 534066;985-504-338 84;замедленная реакция, нарушение чувствительности, головная боль;Невролог;2024-10-11T12:00;общий анализ крови;2024-10-14T17:00;850 руб.;SBERBANK OF RUSSIA | MIR | 9086 8663 9141 1471;2024-10-15T18:00
Николаев Олег Тимофеевич;37 95 110841;846-971-114 10;дискомфорт в груди, одышка;Кардиолог;2024-02-02T13:00;общий анализ крови;2024-02-05T09:00;850 руб.;MTS BANK | MIR | 2289 1344 6937 3929;2024-02-06T10:00
Вавилов Олег Витальевич;AB8964366;480-289-920 52;отеки;Нефролог;2024-09-23T13:00;бактериологический посев мочи;2024-09-26T12:30;900 руб.;TINKOFF BANK | MASTERCARD | 4385 8171 5235 4494;2024-09-27T13:30
Беляев Гордей Александрович;AB8754472;354-740-528 31;слезоточивость, чихание;Аллерголог;2024-04-17T17:00;аллергопробы + общий анализ крови + биохимический анализ крови;2024-04-22T09:00;3700 руб.;VTB BANK | VISA | 5454 7170 7693 6128;2024-04-23T10:00
Веденин Александр Станиславович;N66640480;686-139-635 80;кожные проявления, реакции на раздражители, чихание;Аллерголог;2024-01-29T11:00;биохимический анализ крови;2024-02-01T16:00;850 руб.;TINKOFF BANK | MASTERCARD | 7751 8384 1857 4785;2024-02-02T17:00
Дроздов Артём Юрьевич;AB4991616;544-789-240 10;напряжение голоса, нарушения речи;Логопед;2024-12-20T16:00;психодиагностика + аудиометрия + общий анализ крови;2024-12-23T12:00;7050 руб.;GAZPROMBANK | MIR | 2497 1494 7551 9549;2024-12-24T13:00
Краснов Денис Антонович;57 75 775008;107-459-595 18;головокружение, слабость при нагрузке;Кардиолог;2024-07-05T16:00;ЭКГ + коагулограмма;2024-07-08T16:00;2300 руб.;MTS BANK | MIR | 1379 5127 6032 3197;2024-07-09T17:00
Коротков Максим Давидович;10 99 597501;478-732-143 98;неустойчивость, замедленная реакция, нарушение чувствительности;Невролог;2024-02-02T09:00;общий анализ крови;2024-02-05T18:00;850 руб.;VTB BANK | MIR | 4232 1286 9083 7645;2024-02-06T15:30
Артемьев Кузьма Александрович;N44545560;674-598-782 28;проблемы с весом, пищевой дискомфорт;Диетолог;2024-12-09T14:00;глюкоза крови + общий анализ мочи;2024-12-10T15:00;550 руб.;TINKOFF BANK | VISA | 8173 4023 9956 1947;2024-12-11T16:00
Беляев Леон Евгеньевич;60 28 461708;970-960-629 22;заикание, трудности произношения;Логопед;2024-03-07T10:00;психодиагностика + аудиометрия;2024-03-11T17:00;6200 руб.;TINKOFF BANK | MASTERCARD | 7568 7257 3894 1908;2024-03-12T18:00
Антонов Игорь Степанович;N76567321;427-585-698 13;ограничение подвижности;Травматолог;2024-02-22T13:00;рентген сустава;2024-02-23T09:30;1500 руб.;SBERBANK OF RUSSIA | VISA | 2105 1591 9582 2869;2024-02-26T10:30
Кондратов Елисей Владимирович;26 69 107418;299-662-868 55;головная боль, мышечные подергивания, неустойчивость;Невролог;2024-03-26T17:00;общий анализ крови + ЭЭГ + МРТ головного мозга;2024-03-29T12:00;10150 руб.;VTB BANK | VISA | 4273 6177 8924 8629;2024-04-01T13:00
Уваров Богдан Станиславович;AB2730153;928-546-376 11;атипичные проявления, наследственные риски;Генетик;2024-11-28T09:00;генетический анализ;2024-12-02T11:30;12000 руб.;TINKOFF BANK | VISA | 5086 6222 1190 8733;2024-12-03T12:30
Мартынов Захар Александрович;87 94 234339;543-957-812 57;врожденные особенности, необъяснимые симптомы, наследственные риски;Генетик;2024-02-15T11:00;генетический анализ + биохимический анализ крови;2024-02-19T09:00;12850 руб.;VTB BANK | MIR | 3647 3326 5178 3462;2024-02-20T10:00
Быстров Богдан Константинович;97 25 560181;179-683-891 51;нарушение питания;Диетолог;2024-10-17T11:00;глюкоза крови;2024-10-18T18:00;260 руб.;TINKOFF BANK | MIR | 7529 1028 5031 6571;2024-10-21T09:00
Пахомов Ратмир Васильевич;N23281333;714-475-369 55;снижение подвижности, мышечная слабость;Реабилитолог;2024-01-29T09:00;механотерапия;2024-02-01T10:00;600 руб.;MTS BANK | MASTERCARD | 1248 5185 6638 2561;2024-02-02T11:00
Шубин Анатолий Никифорович;N14482538;917-140-219 69;слезоточивость;Аллерголог;2024-03-26T14:00;аллергопробы + биохимический анализ крови;2024-03-27T17:00;2850 руб.;TINKOFF BANK | MIR | 2748 7493 5050 8596;2024-03-28T18:00
Евсеев Егор Григорьевич;N68435677;280-137-634 62;дискомфорт после еды, подозрение на внутренние изменения, трудности глотания;Эндоскопист;2024-07-22T15:00;ФГДС;2024-07-23T13:30;5500 руб.;GAZPROMBANK | MASTERCARD | 6087 3540 6196 9583;2024-07-24T14:30
Власов Никита Игоревич;45 75 813334;640-736-218 64;повышение давления, отеки;Нефролог;2024-05-06T11:00;бактериологический посев мочи;2024-05-07T13:00;900 руб.;GAZPROMBANK | MIR | 9176 8801 3172 4431;2024-05-08T14:00
Куприянов Вадим Ильич;24 55 267930;432-621-466 92;ощущение нехватки воздуха;Пульмонолог;2024-09-25T12:00;спирометрия + общий анализ крови;2024-09-30T14:00;2650 руб.;TINKOFF BANK | MASTERCARD | 2629 9138 8111 1793;2024-10-01T15:00
Калашников Владимир Ильич;AB4245700;356-510-298 40;ограничение подвижности;Травматолог;2024-10-25T08:00;рентген сустава + общий анализ крови + МРТ сустава;2024-10-28T17:00;8850 руб.;MTS BANK | MASTERCARD | 3581 7072 6237 5790;2024-10-29T18:00
